Parameters vs Time
Line A: Structure Forces, Total Force/Moment - Global X (floater) [N]

*Time (s);Line A (N)
3103.40015;107053.25
3103.5;107915.6953125
3103.6001;109232.3046875
3103.69995;110774.15625
3103.80005;112586.8359375
3103.90015;114536.6875
3104;116540.2890625
3104.1001;118515.796875
3104.19995;120432.2421875
3104.30005;122198.703125
3104.40015;123830.9140625
3104.5;125265.96875
3104.6001;126538.046875
3104.69995;127620.0625
3104.80005;128537.8125
3104.90015;129309.6015625
3105;129986.3203125
3105.1001;130578.7734375
3105.19995;131127.46875
3105.30005;131701.078125
3105.40015;132338.640625
3105.5;133100.75
3105.6001;133988.328125
3105.69995;135089.953125
3105.80005;136384.765625
3105.90015;137925.4375
3106;139687.4375
3106.1001;141692.71875
3106.19995;143975.625
3106.30005;146460.734375
3106.40015;149089.4375
3106.5;151834.015625
3106.6001;154746.609375
3106.69995;157586.71875
3106.80005;160444.65625
3106.90015;163251.3125
3107;165819.140625
3107.1001;168222.84375
3107.19995;170320.796875
3107.30005;172083.875
3107.40015;173498.78125
3107.5;174492.28125
3107.6001;175051
3107.69995;175136.1875
3107.80005;174841.03125
3107.90015;174098.40625
3108;172979.625
3108.1001;171526.609375
3108.19995;169810.75
3108.30005;167900.171875
3108.40015;165824.875
3108.5;163746.6875
3108.6001;161699.78125
3108.69995;159848.8125
3108.80005;158245.84375
3108.90015;156957.59375
3109;156163.609375
3109.1001;155834.3125
3109.19995;156104.53125
3109.30005;156980.84375
3109.40015;158539.1875
3109.5;160740.59375
3109.6001;163624.4375
3109.69995;167166.109375
3109.80005;171303.1875
3109.90015;175979.28125
3110;181054.59375
3110.1001;186471.03125
3110.19995;192130.421875
3110.30005;197800.75
3110.40015;203411.875
3110.5;208771.25
3110.6001;213711.8125
3110.69995;218065.75
3110.80005;221708.375
3110.90015;224430.75
3111;226098.125
3111.1001;226677.09375
3111.19995;225921.09375
3111.30005;223743.046875
3111.40015;220141.1875
3111.5;215107.1875
3111.6001;208502.84375
3111.69995;200383.140625
3111.80005;190843.0625
3111.90015;179872.6875
3112;167579.671875
3112.1001;154127.46875
3112.19995;139528.078125
3112.30005;124078.4140625
3112.40015;107816.4296875
3112.5;91110.703125
3112.6001;73950.5859375
3112.69995;56646.375
3112.80005;39337.0859375
3112.90015;22301.33984375
3113;5681.287109375
3113.1001;-10334.56640625
3113.19995;-25598.154296875
3113.30005;-39961.125
3113.40015;-53301.28125
3113.5;-65440.7578125
3113.6001;-76371.25
3113.69995;-85953.6640625
3113.80005;-94193.8203125
3113.90015;-101062.6640625
3114;-106504.765625
3114.1001;-110620.6953125
3114.19995;-113340.296875
3114.30005;-114783.8125
3114.40015;-114926.2109375
3114.5;-113927.828125
3114.6001;-111744.3671875
3114.69995;-108551.109375
3114.80005;-104317.4453125
3114.90015;-99133.4765625
3115;-93100.5234375
3115.1001;-86157.484375
3115.19995;-78460.8515625
3115.30005;-69915.8671875
3115.40015;-60599.0546875
3115.5;-50502.69140625
3115.6001;-39574.0078125
3115.69995;-27777.22265625
3115.80005;-15095.25390625
3115.90015;-1455.587890625
3116;13089.994140625
3116.1001;28866.1015625
3116.19995;45559.34375
3116.30005;63428.1015625
3116.40015;82585.296875
3116.5;102914.46875
3116.6001;124496.4765625
3116.69995;147350
3116.80005;171434.84375
3116.90015;196844.15625
3117;223150.28125
3117.1001;250566.046875
3117.19995;278918.46875
3117.30005;308031.4375
3117.40015;337815.65625
3117.5;367951.40625
3117.6001;398292.21875
3117.69995;428604.1875
3117.80005;458662.5
3117.90015;488292.15625
3118;516966.84375
3118.1001;544724.5
3118.19995;571109.8125
3118.30005;596198.625
3118.40015;619427.9375
3118.5;640593.125
3118.6001;659676.5
3118.69995;676351.8125
3118.80005;690676.9375
3118.90015;702579.625
3119;711800
3119.1001;718433.25
3119.19995;722364.75
3119.30005;724100.75
3119.40015;723302.0625
3119.5;720108
3119.6001;714840.75
3119.69995;707741.5
3119.80005;698984.625
3119.90015;688797.1875
3120;677348.3125
3120.1001;665128.375
3120.19995;652115.5
3120.30005;638803.0625
3120.40015;625421.625
3120.5;612104.75
3120.6001;599302
3120.69995;586976.8125
3120.80005;575416.3125
3120.90015;564894.9375
3121;555614.375
3121.1001;547239.5625
3121.19995;540100.1875
3121.30005;534292.6875
3121.40015;529583.3125
3121.5;526108.875
3121.6001;523663.78125
3121.69995;522177.46875
3121.80005;521623.28125
3121.90015;521752.625
3122;522304.96875
3122.1001;523043.125
3122.19995;524138.59375
3122.30005;525119.75
3122.40015;525865
3122.5;526096.375
3122.6001;525834.875
3122.69995;524764.875
3122.80005;522906.6875
3122.90015;520066.1875
3123;516235.0625
3123.1001;511208.5625
3123.19995;505321.09375
3123.30005;497977.46875
3123.40015;489799.09375
3123.5;480684.5625
3123.6001;470625.1875
3123.69995;459718.75
3123.80005;448240.875
3123.90015;436085.78125
3124;423762.09375
3124.1001;411024.375
3124.19995;398481.78125
3124.30005;385994.1875
3124.40015;373835.78125
3124.5;362005.4375
3124.6001;350879.34375
3124.69995;340387.59375
3124.80005;330737.84375
3124.90015;321959.90625
3125;314154.0625
3125.1001;307312.53125
3125.19995;301535.1875
3125.30005;296808.625
3125.40015;293024.75
3125.5;290084.15625
3125.6001;288149.25
3125.69995;286909.4375
3125.80005;286432.53125
3125.90015;286514.28125
3126;287055.9375
3126.1001;287989.5625
3126.19995;289187.5625
3126.30005;290492.34375
3126.40015;291878.375
3126.5;293141.3125
3126.6001;294268.8125
3126.69995;295174.5
3126.80005;295806.78125
3126.90015;296082.34375
3127;295938.1875
3127.1001;295469.65625
3127.19995;294645.6875
3127.30005;293393.15625
3127.40015;291824.40625
3127.5;289944.9375
3127.6001;287850.96875
3127.69995;285489
3127.80005;283018.875
3127.90015;280483.6875
3128;277892.625
3128.1001;275387.59375
3128.19995;272937.6875
3128.30005;270690.34375
3128.40015;268622.28125
3128.5;266805.3125
3128.6001;265221.34375
3128.69995;263887.90625
3128.80005;262815.375
3128.90015;262020.6875
3129;261403.40625
3129.1001;260979.21875
3129.19995;260676.59375
3129.30005;260487.546875
3129.40015;260315.203125
3129.5;260135.8125
3129.6001;259797.375
3129.69995;259314.46875
3129.80005;258606.734375
3129.90015;257592.28125
3130;256204.828125
3130.1001;254423.34375
3130.19995;252218.96875
3130.30005;249524.8125
3130.40015;246366.21875
3130.5;242695.96875
3130.6001;238646.09375
3130.69995;234016.515625
3130.80005;228946.234375
3130.90015;223544.875
3131;217847.578125
3131.1001;211878
3131.19995;205602.65625
3131.30005;199322.859375
3131.40015;192971.1875
3131.5;186656.46875
3131.6001;180463.84375
3131.69995;174543.125
3131.80005;168863.65625
3131.90015;163643.875
3132;158701.8125
3132.1001;154344.65625
3132.19995;150609.34375
3132.30005;147347.6875
3132.40015;144724.59375
3132.5;142735.78125
3132.6001;141488.984375
3132.69995;140790.265625
3132.80005;140721.0625
3132.90015;141325.015625
3133;142466.46875
3133.1001;144206.640625
3133.19995;146423.71875
3133.30005;149080.84375
3133.40015;152161.578125
3133.5;155606.390625
3133.6001;159339.53125
3133.69995;163337.328125
3133.80005;167550.75
3133.90015;171883.9375
3134;176376.375
3134.1001;180899.03125
3134.19995;185450.71875
3134.30005;190026.640625
3134.40015;194567.234375
3134.5;199041.203125
3134.6001;203429.15625
3134.69995;207761.078125
3134.80005;211973.859375
3134.90015;216080.1875
3135;220056.078125
3135.1001;223902.6875
3135.19995;227614.953125
3135.30005;231191.875
3135.40015;234635.28125
3135.5;237919.703125
3135.6001;241004.6875
3135.69995;243911.875
3135.80005;246617.90625
3135.90015;249141.796875
3136;251353.15625
3136.1001;253356.125
3136.19995;255095
3136.30005;256515.34375
3136.40015;257589.171875
3136.5;258384.34375
3136.6001;258790.125
3136.69995;258785.15625
3136.80005;258464.1875
3136.90015;257707.59375
3137;256570.6875
3137.1001;255084.3125
3137.19995;253202.96875
3137.30005;250997.65625
3137.40015;248438.59375
3137.5;245638.625
3137.6001;242606.71875
3137.69995;239428.25
3137.80005;236015.34375
3137.90015;232510.59375
3138;229089.65625
3138.1001;225577.5625
3138.19995;222243.4375
3138.30005;219048.890625
3138.40015;216186.1875
3138.5;213562.8125
3138.6001;211335.1875
3138.69995;209544.96875
3138.80005;208307.6875
3138.90015;207580.34375
3139;207365.703125
3139.1001;207941.015625
3139.19995;209168.21875
3139.30005;210958.984375
3139.40015;213514.21875
3139.5;216930.15625
3139.6001;221045.53125
3139.69995;225738.171875
3139.80005;231359.6875
3139.90015;237653.09375
3140;244766.65625
3140.1001;252579.9375
3140.19995;261061.546875
3140.30005;270306.875
3140.40015;280199.4375
3140.5;290773.1875
3140.6001;301983.125
3140.69995;313914.8125
3140.80005;326451.09375
3140.90015;339658.3125
3141;353394.8125
3141.1001;367885.28125
3141.19995;382862
3141.30005;398483.3125
3141.40015;414725.40625
3141.5;431421.78125
3141.6001;448798.65625
3141.69995;466592.375
3141.80005;484833.25
3141.90015;503651.3125
3142;522744.15625
3142.1001;542228.5
3142.19995;561865.125
3142.30005;581812.5625
3142.40015;601808.25
3142.5;621784.875
3142.6001;641659.875
3142.69995;661271.0625
3142.80005;680662
3142.90015;699526.125
3143;717786.125
3143.1001;735291
3143.19995;751902.125
3143.30005;767634.125
3143.40015;782133.6875
3143.5;795445
3143.6001;807339.125
3143.69995;817949.1875
3143.80005;826894.5625
3143.90015;834385.5
3144;839979.8125
3144.1001;844215
3144.19995;846625.5
3144.30005;847416
3144.40015;846401.5
3144.5;844154.125
3144.6001;840110.0625
3144.69995;834684.3125
3144.80005;827998.3125
3144.90015;820140.75
3145;811178.125
3145.1001;801345.4375
3145.19995;790778.5
3145.30005;779667.4375
3145.40015;768033.375
3145.5;756282.0625
3145.6001;744336.375
3145.69995;732481.75
3145.80005;720695.5625
3145.90015;709365.6875
3146;698305.625
3146.1001;687889.3125
3146.19995;677918.0625
3146.30005;668828.4375
3146.40015;660281.0625
3146.5;652374.25
3146.6001;645300.625
3146.69995;638914.75
3146.80005;633083.6875
3146.90015;627890.8125
3147;623216.5625
3147.1001;619045.4375
3147.19995;614974.5625
3147.30005;611460.4375
3147.40015;608005
3147.5;604617.125
3147.6001;601211.375
3147.69995;597558.25
3147.80005;593768.6875
3147.90015;589678.8125
3148;585217.8125
3148.1001;580262.75
3148.19995;575009.0625
3148.30005;569170.1875
3148.40015;562758.3125
3148.5;555983.1875
3148.6001;548701.8125
3148.69995;540892.5
3148.80005;532743.625
3148.90015;524186.875
3149;515420.78125
3149.1001;506344.1875
3149.19995;497090.125
3149.30005;487821.25
3149.40015;478493
3149.5;469281.46875
3149.6001;460131.59375
3149.69995;451243.1875
3149.80005;442581.125
3149.90015;434222
3150;426204.90625
3150.1001;418587.96875
3150.19995;411436.09375
3150.30005;404645.5
3150.40015;398225.5625
3150.5;392383.96875
3150.6001;386873.375
3150.69995;381792.03125
3150.80005;377013.9375
3150.90015;372634.9375
3151;368657.875
3151.1001;364938.59375
3151.19995;361476.875
3151.30005;358347.4375
3151.40015;355293.25
3151.5;352750.03125
3151.6001;350259.09375
3151.69995;348061.46875
3151.80005;346052.15625
3151.90015;344348.53125
3152;342928.8125
3152.1001;341622.75
3152.19995;340848.75
3152.30005;340407.5625
3152.40015;340325.03125
3152.5;340683.75
3152.6001;341520.96875
3152.69995;342864.8125
3152.80005;344640.34375
3152.90015;346988
3153;349888.78125
3153.1001;353269.125
3153.19995;357180.46875
3153.30005;361603.28125
3153.40015;366482
3153.5;371689.03125
3153.6001;377289.8125
3153.69995;383152.90625
3153.80005;389096.59375
3153.90015;395248.1875
3154;401251.4375
3154.1001;407216.1875
3154.19995;412985.375
3154.30005;418384.0625
3154.40015;423374.6875
3154.5;427947.75
3154.6001;431692.09375
3154.69995;434851.15625
3154.80005;437254
3154.90015;438936
3155;439779.5
3155.1001;439768.09375
3155.19995;439039.6875
3155.30005;437491.28125
3155.40015;435137.4375
3155.5;432173.90625
3155.6001;428733.90625
3155.69995;424846.09375
3155.80005;420528.1875
3155.90015;416049.40625
3156;411564.09375
3156.1001;407169.09375
3156.19995;402911.59375
3156.30005;399090.84375
3156.40015;395838.46875
3156.5;393120.5625
3156.6001;391258.15625
3156.69995;390240.4375
3156.80005;390107.40625
3156.90015;391022.40625
3157;392877.96875
3157.1001;395814.78125
3157.19995;399661.46875
3157.30005;404613.40625
3157.40015;410436.9375
3157.5;417068.875
3157.6001;424290.78125
3157.69995;432214.90625
3157.80005;440590.46875
3157.90015;449238.5
3158;457775.0625
3158.1001;466501.4375
3158.19995;474980.96875
3158.30005;482839.875
3158.40015;490307.25
3158.5;497196.34375
3158.6001;503070.65625
3158.69995;508082.125
3158.80005;512137.59375
3158.90015;515073.09375
3159;516889.625
3159.1001;517683.25
3159.19995;517479.65625
3159.30005;516051.375
3159.40015;513855.46875
3159.5;510779.71875
3159.6001;507146.3125
3159.69995;502807.8125
3159.80005;498332.78125
3159.90015;493450.6875
3160;488819.09375
3160.1001;484122.90625
3160.19995;479837.28125
3160.30005;476118.96875
3160.40015;473162.25
3160.5;470854.59375
3160.6001;469666.90625
3160.69995;469552.84375
3160.80005;470563.875
3160.90015;472768.8125
3161;476158.71875
3161.1001;480754.21875
3161.19995;486614.4375
3161.30005;493292.25
3161.40015;501164.875
3161.5;509806.84375
3161.6001;519238.125
3161.69995;529097.25
3161.80005;539318.25
3161.90015;549752.8125
3162;560142.9375
3162.1001;570291.4375
3162.19995;580010.3125
3162.30005;589160.25
3162.40015;597462.375
3162.5;604958.5
3162.6001;611374.75
3162.69995;616693.375
3162.80005;620830.3125
3162.90015;623656.875
3163;625302.125
3163.1001;625876.375
3163.19995;625030.625
3163.30005;623229.5
3163.40015;620535.8125
3163.5;616910.9375
3163.6001;612523.5
3163.69995;607731.0625
3163.80005;602520.125
3163.90015;597121.25
3164;591823.0625
3164.1001;586714.25
3164.19995;581863.75
3164.30005;577740.875
3164.40015;574098.1875
3164.5;571466.5
3164.6001;569556.625
3164.69995;568602.8125
3164.80005;568552.25
3164.90015;569561.125
3165;571434.125
3165.1001;574307.0625
3165.19995;577860.375
3165.30005;582142
3165.40015;586846
3165.5;591864.6875
3165.6001;597056.375
3165.69995;602160.5
3165.80005;606904.375
3165.90015;611281.5
3166;614775.75
3166.1001;617417.875
3166.19995;618845.625
3166.30005;618968.25
3166.40015;617571.625
3166.5;614482.125
3166.6001;609691.1875
3166.69995;603091
3166.80005;594510.1875
3166.90015;584050.6875
3167;571806.875
3167.1001;557570.4375
3167.19995;541686.625
3167.30005;524185.21875
3167.40015;505190.4375
3167.5;485020.84375
3167.6001;463652.6875
3167.69995;441647.71875
3167.80005;418856.03125
3167.90015;395880.84375
3168;372659.34375
3168.1001;349634.875
3168.19995;327201.0625
3168.30005;305319
3168.40015;284224.09375
3168.5;264395.03125
3168.6001;245847.6875
3168.69995;228786.8125
3168.80005;213310.65625
3168.90015;199668.34375
3169;187773.609375
3169.1001;177796.421875
3169.19995;169695.25
3169.30005;163547.84375
3169.40015;159245.96875
3169.5;156811.9375
3169.6001;156089.28125
3169.69995;157042.0625
3169.80005;159511.03125
3169.90015;163399.40625
3170;168494.25
3170.1001;174725.4375
3170.19995;181888.765625
3170.30005;189838.859375
3170.40015;198454.125
3170.5;207478.03125
3170.6001;216870.3125
3170.69995;226436.03125
3170.80005;236068.34375
3170.90015;245630.234375
3171;255095.0625
3171.1001;264284.28125
3171.19995;273155.46875
3171.30005;281686.65625
3171.40015;289921.84375
3171.5;297609.53125
3171.6001;304951.3125
3171.69995;311799.65625
3171.80005;318305.15625
3171.90015;324394.59375
3172;330066.03125
3172.1001;335410.3125
3172.19995;340392.15625
3172.30005;345108.28125
3172.40015;349672.5625
3172.5;353943.0625
3172.6001;358026.90625
3172.69995;361900.03125
3172.80005;365643.53125
3172.90015;369438.09375
3173;372885.40625
3173.1001;376348.25
3173.19995;379628.8125
3173.30005;382771.78125
3173.40015;385772.28125
3173.5;388573.4375
3173.6001;391128.90625
3173.69995;393500.875
3173.80005;395607.8125
3173.90015;397290.96875
3174;398522.78125
3174.1001;399588.6875
3174.19995;399913.5625
3174.30005;399826.25
3174.40015;399185.75
3174.5;398003
3174.6001;396049.34375
3174.69995;393443.5625
3174.80005;390261.75
3174.90015;386377.375
3175;381730.75
3175.1001;376361.96875
3175.19995;370309.5625
3175.30005;363616.09375
3175.40015;356331.09375
3175.5;348364.9375
3175.6001;339883.78125
3175.69995;330913.96875
3175.80005;321639.46875
3175.90015;311977.5
3176;302090.1875
3176.1001;292160.875
3176.19995;282244.15625
3176.30005;272368
3176.40015;262800.3125
3176.5;253585.6875
3176.6001;244963.0625
3176.69995;237024
3176.80005;229840.6875
3176.90015;223569.46875
3177;218500.90625
3177.1001;214546.15625
3177.19995;211925.328125
3177.30005;210861.03125
3177.40015;211226
3177.5;213125.28125
3177.6001;216832.5625
3177.69995;222177.890625
3177.80005;229215.125
3177.90015;238032
3178;248479.4375
3178.1001;260775.75
3178.19995;274363.84375
3178.30005;289751.25
3178.40015;306291.03125
3178.5;324115.84375
3178.6001;342946.125
3178.69995;362690.25
3178.80005;383312.0625
3178.90015;404241.03125
3179;425344.53125
3179.1001;446580.8125
3179.19995;467577.6875
3179.30005;488208.28125
3179.40015;508108.46875
3179.5;527337.0625
3179.6001;545408.8125
3179.69995;562271.1875
3179.80005;577781.625
3179.90015;591902.8125
3180;604237.9375
3180.1001;614819.8125
3180.19995;623955.875
3180.30005;631316
3180.40015;636771.375
3180.5;640730.1875
3180.6001;643132.9375
3180.69995;644115.6875
3180.80005;643700.6875
3180.90015;642174.5
3181;639864.6875
3181.1001;636720.875
3181.19995;633048.0625
3181.30005;629024.8125
3181.40015;625057.8125
3181.5;621073.375
3181.6001;617578.125
3181.69995;614731.375
3181.80005;612346.4375
3181.90015;611014.1875
3182;610620.5625
3182.1001;611413.625
3182.19995;613334.875
3182.30005;616488.75
3182.40015;620886.9375
3182.5;626601.8125
3182.6001;633312.875
3182.69995;640883.8125
3182.80005;649515.125
3182.90015;658990.5625
3183;668895.875
3183.1001;679304.125
3183.19995;689875.8125
3183.30005;700434.5625
3183.40015;710706.5625
3183.5;720451.3125
3183.6001;729798
3183.69995;738306.1875
3183.80005;745800.875
3183.90015;752133.1875
3184;757302.875
3184.1001;761348.9375
3184.19995;763762.375
3184.30005;765064.8125
3184.40015;764894.875
3184.5;763515.3125
3184.6001;761094.3125
3184.69995;757475.0625
3184.80005;752987.25
3184.90015;747709.875
3185;741893.1875
3185.1001;735787.9375
3185.19995;729376.9375
3185.30005;722972.375
3185.40015;716617
3185.5;710946.125
3185.6001;705634.25
3185.69995;701116.6875
3185.80005;697218.8125
3185.90015;694239.3125
3186;692322.0625
3186.1001;690994.4375
3186.19995;690848.25
3186.30005;691458.875
3186.40015;692649.5625
3186.5;694509.5
3186.6001;696671.5625
3186.69995;699115.3125
3186.80005;701492.375
3186.90015;703719.625
3187;705382.5625
3187.1001;706355.375
3187.19995;706326.25
3187.30005;705087.4375
3187.40015;702507.4375
3187.5;698264.5
3187.6001;692113.625
3187.69995;684189.75
3187.80005;674292.875
3187.90015;662460.375
3188;648510.875
3188.1001;632772.875
3188.19995;615189.125
3188.30005;595749.1875
3188.40015;574985
3188.5;553053.75
3188.6001;530038
3188.69995;506539.125
3188.80005;482685.78125
3188.90015;458920.09375
3189;435612.71875
3189.1001;412913.46875
3189.19995;391651.625
3189.30005;371757.15625
3189.40015;353781.125
3189.5;337940.53125
3189.6001;324560.6875
3189.69995;313671.78125
3189.80005;305650.9375
3189.90015;300568.9375
3190;298419.125
3190.1001;299268.15625
3190.19995;303041.59375
3190.30005;309646.09375
3190.40015;318883
3190.5;330584.71875
3190.6001;344528.3125
3190.69995;360327.875
3190.80005;377820.78125
3190.90015;396578.6875
3191;416204.6875
3191.1001;436433.3125
3191.19995;456802.6875
3191.30005;477025.59375
3191.40015;496899.15625
3191.5;515777.65625
3191.6001;533717.0625
3191.69995;550356.5
3191.80005;565605.5
3191.90015;579062.25
3192;590978.0625
3192.1001;601135.6875
3192.19995;609459.625
3192.30005;616161.8125
3192.40015;621289.1875
3192.5;624945.5625
3192.6001;627393.3125
3192.69995;628600.875
3192.80005;629134
3192.90015;628881
3193;628316.375
3193.1001;627562.875
3193.19995;626929.9375
3193.30005;626509.75
3193.40015;626497.125
3193.5;627176.6875
3193.6001;628474.8125
3193.69995;630595.9375
3193.80005;633596.6875
3193.90015;637390.4375
3194;641897.0625
3194.1001;647036.0625
3194.19995;652718.9375
3194.30005;658721.0625
3194.40015;664808.25
3194.5;670751.625
3194.6001;676307.0625
3194.69995;681168.125
3194.80005;685134.0625
3194.90015;687739.0625
3195;688844.25
3195.1001;688291.6875
3195.19995;685618.5625
3195.30005;680756.875
3195.40015;673630.375
3195.5;663938.9375
3195.6001;651702.1875
3195.69995;637097.1875
3195.80005;619807.6875
3195.90015;600111.9375
3196;578188.5
3196.1001;554166.6875
3196.19995;528275.1875
3196.30005;500862.90625
3196.40015;472077.40625
3196.5;442374.53125
3196.6001;412089.3125
3196.69995;381642.125
3196.80005;351206.3125
3196.90015;321248.59375
3197;292236.625
3197.1001;264278.46875
3197.19995;237829.1875
3197.30005;213116
3197.40015;190234.4375
3197.5;169592.15625
3197.6001;151063.453125
3197.69995;134926.15625
3197.80005;121123.234375
3197.90015;109697.8671875
3198;100629.3515625
3198.1001;93755.859375
3198.19995;89033.3203125
3198.30005;86186.71875
3198.40015;85213.9296875
3198.5;85769.1171875
3198.6001;87837.015625
3198.69995;91221.7421875
3198.80005;95594.4453125
3198.90015;101051.0234375
3199;107278.25
3199.1001;114274.9296875
3199.19995;121958.453125
3199.30005;130470.9140625
3199.40015;139671.875
3199.5;149768.125
3199.6001;160849.15625
3199.69995;172987.90625
3199.80005;186586.15625
3199.90015;201985
3200;219167.4375
3200.1001;238617.03125
3200.19995;260510.5625
3200.30005;285615.28125
3200.40015;313814.5
3200.5;345554.375
3200.6001;381329.34375
3200.69995;421152.625
3200.80005;465264.625
3200.90015;513925.1875
3201;567135.375
3201.1001;625104.3125
3201.19995;687609.875
3201.30005;754741.9375
3201.40015;826082.375
3201.5;901466.75
3201.6001;980538.9375
3201.69995;1062818.5
3201.80005;1148093.875
3201.90015;1235653.5
3202;1324496.875
3202.1001;1414361.125
3202.19995;1504549
3202.30005;1594277.625
3202.40015;1682819.875
3202.5;1769186.625
3202.6001;1853277.375
3202.69995;1933875
3202.80005;2010637.625
3202.90015;2082701.125
3203;2149661.5
3203.1001;2211255.75
3203.19995;2266489
3203.30005;2315849
3203.40015;2358617.5
3203.5;2394596
3203.6001;2424120.75
3203.69995;2447097.75
3203.80005;2463510.5
3203.90015;2473780.25
3204;2478046
3204.1001;2477063.25
3204.19995;2470836.75
3204.30005;2460169.5
3204.40015;2445284.25
3204.5;2427143.75
3204.6001;2406063.75
3204.69995;2382478.75
3204.80005;2357132.25
3204.90015;2330778.5
3205;2303468.25
3205.1001;2276053
3205.19995;2248993.75
3205.30005;2222573.75
3205.40015;2196792.5
3205.5;2172635.5
3205.6001;2149792.75
3205.69995;2128400.5
3205.80005;2108931.5
3205.90015;2090908.5
3206;2074823.125
3206.1001;2060329.375
3206.19995;2047122.5
3206.30005;2035550
3206.40015;2024911.125
3206.5;2015436.125
3206.6001;2006633.25
3206.69995;1998447.875
3206.80005;1990605
3206.90015;1982808.5
3207;1975232.125
3207.1001;1967495.375
3207.19995;1959205.5
3207.30005;1950662.125
3207.40015;1941815
3207.5;1932413.625
3207.6001;1922682.75
3207.69995;1912678
3207.80005;1902394.25
3207.90015;1891995
3208;1881981.125
3208.1001;1871881.25
3208.19995;1862502
3208.30005;1853743.375
3208.40015;1845965.875
3208.5;1839376.625
3208.6001;1834211.625
3208.69995;1830529.375
3208.80005;1828558
3208.90015;1828443.5
3209;1830397.125
3209.1001;1834335.75
3209.19995;1840522.125
3209.30005;1848715
3209.40015;1858865.5
3209.5;1871108
3209.6001;1885347.625
3209.69995;1900898
3209.80005;1917966.25
3209.90015;1936470.25
3210;1955746.5
3210.1001;1975806.125
3210.19995;1995764.375
3210.30005;2016219.5
3210.40015;2036120.25
3210.5;2055188.25
3210.6001;2073691.125
3210.69995;2090601.625
3210.80005;2105962.5
3210.90015;2119691.75
3211;2131104
3211.1001;2140565.5
3211.19995;2147136.5
3211.30005;2151468.75
3211.40015;2152892.25
3211.5;2151941
3211.6001;2148085.5
3211.69995;2141453
3211.80005;2132426.75
3211.90015;2120850.5
3212;2106697.25
3212.1001;2090580.125
3212.19995;2072364
3212.30005;2052354.875
3212.40015;2030237.625
3212.5;2007130.25
3212.6001;1982816.5
3212.69995;1957240.375
3212.80005;1931298.125
3212.90015;1904688.75
3213;1877918.5
3213.1001;1850759.75
3213.19995;1823877.625
3213.30005;1797273.375
3213.40015;1771034.75
3213.5;1745385.5
3213.6001;1720333.5
3213.69995;1696139.625
3213.80005;1672725
3213.90015;1650052.625
3214;1628710.625
3214.1001;1607923.125
3214.19995;1588392.375
3214.30005;1569697.25
3214.40015;1551717.25
3214.5;1535109
3214.6001;1518983.75
3214.69995;1503812
3214.80005;1489483.375
3214.90015;1475747.875
3215;1462588.875
3215.1001;1450027
3215.19995;1437997.125
3215.30005;1426316.75
3215.40015;1414898.75
3215.5;1403800.375
3215.6001;1392818.625
3215.69995;1381809.75
3215.80005;1371028.75
3215.90015;1359730.375
3216;1348467.25
3216.1001;1336990.25
3216.19995;1325189
3216.30005;1312552.125
3216.40015;1299728.875
3216.5;1286314
3216.6001;1272047.625
3216.69995;1257246
3216.80005;1241817
3216.90015;1225314.125
3217;1208240.875
3217.1001;1190213.875
3217.19995;1171486
3217.30005;1152087.75
3217.40015;1131878
3217.5;1111052.75
3217.6001;1089555.125
3217.69995;1067480.5
3217.80005;1044997.25
3217.90015;1021998.625
3218;999217.25
3218.1001;976034.5625
3218.19995;953097
3218.30005;930039.4375
3218.40015;907568.375
3218.5;885428.1875
3218.6001;863994.3125
3218.69995;843095.5625
3218.80005;823039
3218.90015;803852.1875
3219;785811.25
3219.1001;768558.5
3219.19995;752635.125
3219.30005;737747.5625
3219.40015;723790.4375
3219.5;711115
3219.6001;699124.875
3219.69995;688267.1875
3219.80005;678190.625
3219.90015;668719.4375
3220;660036.4375
3220.1001;651626.875
3220.19995;643611.9375
3220.30005;635516.1875
3220.40015;627402.5
3220.5;619135.5
3220.6001;610482.4375
3220.69995;601243.25
3220.80005;591415.375
3220.90015;580848.125
3221;569544
3221.1001;557408.5
3221.19995;544376.1875
3221.30005;530287.125
3221.40015;515561.90625
3221.5;500110
3221.6001;483888.90625
3221.69995;467218.78125
3221.80005;450273.59375
3221.90015;433243.4375
3222;416193.28125
3222.1001;399572.25
3222.19995;383612
3222.30005;368369.5625
3222.40015;354279.03125
3222.5;341672.28125
3222.6001;330496.53125
3222.69995;321261
3222.80005;314075.71875
3222.90015;309135.75
3223;306495.125
3223.1001;306369.5
3223.19995;308795.40625
3223.30005;313940.65625
3223.40015;321502.125
3223.5;331464.125
3223.6001;344086.34375
3223.69995;358810.21875
3223.80005;375576.21875
3223.90015;394132.6875
3224;414394.875
3224.1001;435850.53125
3224.19995;458270.25
3224.30005;481397.03125
3224.40015;504900.03125
3224.5;528299.5
3224.6001;551342.25
3224.69995;573726.75
3224.80005;595261.9375
3224.90015;615437.25
3225;634131.0625
3225.1001;651121.5
3225.19995;666370.6875
3225.30005;679573
3225.40015;690635
3225.5;699862.9375
3225.6001;706833.1875
3225.69995;711605.75
3225.80005;714726.375
3225.90015;716084.4375
3226;715716.875
3226.1001;714002.5625
3226.19995;711335.75
3226.30005;707867.625
3226.40015;703568.1875
3226.5;699149.1875
3226.6001;694708.0625
3226.69995;690480.8125
3226.80005;686767.375
3226.90015;683935.4375
3227;682032.25
3227.1001;681356.1875
3227.19995;682003.875
