*Irregular Wave 1: JONSWAP (Hs) (Hs = 5 m; Gamma = 3.3; Peak Period = 8 s); Direction = 0.0°; Wave Spreading: None (Long-Crested Waves); with Cross Swell: None

*Period (s);Spectral Ordinate (m²/s)
Direction (°) >;0.0
Sub-Weight >;1
2.73968104960763;2.07600199472528E-02
3.58881233798339;5.38658909961957E-02
4.0676451043405;7.68458505881916E-02
4.42826333751055;9.61971868079514E-02
4.72594579417527;0.113104505965017
4.9843490563831;0.128078591580861
5.21548895459314;0.141408920359712
5.42688571549809;0.153275368652231
5.62338387429844;0.163802730601763
5.80825053019671;0.17309986998532
5.98394551619307;0.181340885881346
6.15222602432741;0.188928812088818
6.31385019553069;0.196713875679059
6.46870405546485;0.206092793539314
6.61565962301011;0.218785333039498
6.75290396606547;0.23627802741412
6.87894414017785;0.259255848190678
6.99319397941324;0.287380838744579
7.0960820735629;0.319506238666888
7.1886711243936;0.354170544119462
7.2724935092231;0.389800937899471
7.3489702676047;0.425085155928392
7.41946138855229;0.458992711722634
7.48506719926329;0.490571569480877
7.54674907681811;0.51924753026399
7.60531106439207;0.544548993126209
7.66136808649003;0.56612441468954
7.71553809475134;0.583771512636742
7.76825435332035;0.597248944790318
7.81999350944208;0.606528662518338
7.87111447018398;0.611552438451545
7.92197697998991;0.612307014421707
7.97298306399779;0.608816070497002
8.02445229660504;0.600772605691174
8.07688183082251;0.586676319468783
8.13087640503298;0.566369755608253
8.18714452159906;0.540087868282438
8.24655088958921;0.508263875587372
8.31011367590448;0.471504389093513
8.37919526220076;0.430391341950675
8.45556867477881;0.385803688090552
8.54163484448995;0.338794831470194
8.64080012637935;0.290701545054217
8.75789116990639;0.243067996265561
8.8998998996051;0.197742759536064
9.07704040838865;0.156386881060747
9.30447465445983;0.120006176570212
9.60726380346418;0.087965668516161
10.0426743206616;5.70907200216782E-02
10.9442031775788;1.11077133751994E-02
